ts,production,job_id,shot_id,queue_latency_sec,status,vendor
2026-09-04T14:00:00Z,PALS,rq-pal-001,PAL-001,302.2,failed,HELIOSFORGE
2026-09-04T14:05:00Z,PALS,rq-pal-005,PAL-005,287.9,failed,HELIOSFORGE
2026-09-04T14:10:00Z,PALS,rq-pal-009,PAL-009,41.3,completed,HELIOSFORGE
2026-09-04T14:15:00Z,PALS,rq-pal-002,PAL-002,32.1,completed,PRISMWORKS
2026-09-04T14:20:00Z,PALS,rq-pal-013,PAL-013,265.4,failed,HELIOSFORGE
2026-09-04T14:25:00Z,PALS,rq-pal-004,PAL-004,28.7,completed,LUMENFRAME
2026-09-04T14:30:00Z,PALS,rq-pal-017,PAL-017,291.0,failed,HELIOSFORGE
2026-09-04T14:35:00Z,PALS,rq-pal-003,PAL-003,35.9,completed,VANTASTUDIO
2026-09-04T14:40:00Z,PALS,rq-pal-021,PAL-021,44.2,completed,HELIOSFORGE
2026-09-04T14:45:00Z,PALS,rq-pal-006,PAL-006,29.8,completed,PRISMWORKS
