shot_id,production,episode_or_reel,scene,vfx_vendor,status,priority,due_at,render_job_id,dependency_shot_ids
PAL-001,PALS,R1,SC-001,HELIOSFORGE,failed,4,2026-09-02T00:00:00Z,rq-pal-001,
PAL-002,PALS,R2,SC-002,PRISMWORKS,delivered,4,2026-09-02T01:00:00Z,rq-pal-002,PAL-001
PAL-003,PALS,R3,SC-003,VANTASTUDIO,delivered,1,2026-09-02T02:00:00Z,rq-pal-003,
PAL-004,PALS,R1,SC-004,LUMENFRAME,delivered,4,2026-09-02T03:00:00Z,rq-pal-004,PAL-001
PAL-005,PALS,R2,SC-005,HELIOSFORGE,failed,5,2026-09-02T04:00:00Z,rq-pal-005,PAL-002
PAL-006,PALS,R3,SC-006,PRISMWORKS,delivered,1,2026-09-02T05:00:00Z,rq-pal-006,
PAL-007,PALS,R1,SC-007,VANTASTUDIO,delivered,5,2026-09-02T06:00:00Z,rq-pal-007,
PAL-008,PALS,R2,SC-008,LUMENFRAME,delivered,3,2026-09-02T07:00:00Z,rq-pal-008,PAL-007
PAL-009,PALS,R3,SC-009,HELIOSFORGE,failed,4,2026-09-02T08:00:00Z,rq-pal-009,PAL-008;PAL-007
PAL-010,PALS,R1,SC-010,PRISMWORKS,delivered,3,2026-09-02T09:00:00Z,rq-pal-010,
PAL-011,PALS,R2,SC-011,VANTASTUDIO,delivered,3,2026-09-02T10:00:00Z,rq-pal-011,
PAL-012,PALS,R3,SC-012,LUMENFRAME,delivered,1,2026-09-02T11:00:00Z,rq-pal-012,PAL-011
PAL-013,PALS,R1,SC-013,HELIOSFORGE,failed,4,2026-09-02T12:00:00Z,rq-pal-013,PAL-012
PAL-014,PALS,R2,SC-014,PRISMWORKS,delivered,1,2026-09-02T13:00:00Z,rq-pal-014,PAL-013
PAL-015,PALS,R3,SC-015,VANTASTUDIO,delivered,1,2026-09-02T14:00:00Z,rq-pal-015,PAL-014
PAL-016,PALS,R1,SC-016,LUMENFRAME,delivered,3,2026-09-02T15:00:00Z,rq-pal-016,
PAL-017,PALS,R2,SC-017,HELIOSFORGE,failed,4,2026-09-02T16:00:00Z,rq-pal-017,PAL-016
PAL-018,PALS,R3,SC-018,PRISMWORKS,delivered,4,2026-09-02T17:00:00Z,rq-pal-018,PAL-017
PAL-019,PALS,R1,SC-019,VANTASTUDIO,delivered,1,2026-09-02T18:00:00Z,rq-pal-019,
PAL-020,PALS,R2,SC-020,LUMENFRAME,delivered,1,2026-09-02T19:00:00Z,rq-pal-020,PAL-019
PAL-021,PALS,R3,SC-021,HELIOSFORGE,failed,5,2026-09-02T20:00:00Z,rq-pal-021,PAL-020
PAL-022,PALS,R1,SC-022,PRISMWORKS,delivered,4,2026-09-02T21:00:00Z,rq-pal-022,
PAL-023,PALS,R2,SC-023,VANTASTUDIO,delivered,4,2026-09-02T22:00:00Z,rq-pal-023,
PAL-024,PALS,R3,SC-024,LUMENFRAME,delivered,2,2026-09-02T23:00:00Z,rq-pal-024,PAL-023
PAL-025,PALS,R1,SC-001,HELIOSFORGE,failed,4,2026-09-03T00:00:00Z,rq-pal-025,PAL-013
PAL-026,PALS,R2,SC-002,PRISMWORKS,delivered,1,2026-09-03T01:00:00Z,rq-pal-026,
PAL-027,PALS,R3,SC-003,VANTASTUDIO,delivered,1,2026-09-03T02:00:00Z,rq-pal-027,
PAL-028,PALS,R1,SC-004,LUMENFRAME,delivered,2,2026-09-03T03:00:00Z,rq-pal-028,PAL-027
PAL-029,PALS,R2,SC-005,HELIOSFORGE,failed,4,2026-09-03T04:00:00Z,rq-pal-029,PAL-028
PAL-030,PALS,R3,SC-006,PRISMWORKS,delivered,1,2026-09-03T05:00:00Z,rq-pal-030,
PAL-031,PALS,R1,SC-007,VANTASTUDIO,delivered,5,2026-09-03T06:00:00Z,rq-pal-031,
PAL-032,PALS,R2,SC-008,LUMENFRAME,delivered,1,2026-09-03T07:00:00Z,rq-pal-032,PAL-031
PAL-033,PALS,R3,SC-009,HELIOSFORGE,failed,4,2026-09-03T08:00:00Z,rq-pal-033,
PAL-034,PALS,R1,SC-010,PRISMWORKS,delivered,5,2026-09-03T09:00:00Z,rq-pal-034,PAL-016
PAL-035,PALS,R2,SC-011,VANTASTUDIO,delivered,5,2026-09-03T10:00:00Z,rq-pal-035,
PAL-036,PALS,R3,SC-012,LUMENFRAME,delivered,1,2026-09-03T11:00:00Z,rq-pal-036,
PAL-037,PALS,R1,SC-013,HELIOSFORGE,failed,4,2026-09-03T12:00:00Z,rq-pal-037,
PAL-038,PALS,R2,SC-014,PRISMWORKS,delivered,5,2026-09-03T13:00:00Z,rq-pal-038,PAL-037
PAL-039,PALS,R3,SC-015,VANTASTUDIO,delivered,2,2026-09-03T14:00:00Z,rq-pal-039,PAL-038
PAL-040,PALS,R1,SC-016,LUMENFRAME,delivered,4,2026-09-03T15:00:00Z,rq-pal-040,PAL-039
PAL-041,PALS,R2,SC-017,HELIOSFORGE,failed,4,2026-09-03T16:00:00Z,rq-pal-041,PAL-040
